Column 1	Column 2	Column 3	Column 4	Column 5	Column 6	Column 7	Column 8	Column 9	Column 10	Column 11	Column 12
3211	Daniel Hal Crisman	training coordinator	  Marsh & McLennan Cos. Inc.	N-15	0	393	64	539	90		
3212	Mary D'Antonio	Marsh & McLennan Cos. Inc.	N-6	1	626	33	753	59			
3213	Elizabeth Ann Darling	business analyst	  Marsh & McLennan Cos. Inc.	N-12	0	554	157	722	183		
3214	Christian Louis DeSimone	accountant	  Marsh & McLennan Cos. Inc.	N-4	2	137	126	326	152		
3215	William Thomas Dean	Marsh & McLennan Cos. Inc.	N-11	1	269	64	432	90			
3216	Tara E. Debek	vice president	  Marsh & McLennan Cos. Inc.	N-9	0	130	64	232	90		
3217	Danielle Anne Delie	World Trade Center	N-3	0	289	33	435	59			
3218	Palmina DelliGatti	accountant	  Marsh & McLennan Cos. Inc.	N-4	0	462	157	604	183		
3219	Jean C. DePalma	vice president	  Marsh USA	N-12	0	625	33	746	59		
3220	Michael Jude D'Esposito	Computer programmer	  Marsh & McLennan Cos. Inc.	N-6	0	28	95	209	121		
3221	Patricia Florence Di Chiaro	null	N-8	0	1	126	207	152			
3222	Carl Anthony DiFranco	vice president	  Marsh & McLennan Cos. Inc.	N-4	3	357	126	539	152		
3223	William John Dimmling	vice president	  Marsh Inc.	N-12	0	355	157	526	183		
3224	Ramzi A. Doany	auditor	  Marsh & McLennan Cos. Inc.	N-14	0	1	64	119	90		
3225	Carlos Dominguez	World Trade Center	N-3	0	502	157	644	183			
3226	Thomas W. Duffy	Marsh & McLennan Cos. Inc.	N-4	3	425	33	557	59			
3227	Christopher Joseph Dunne	World Trade Center	N-13	0	371	126	567	152			
3228	Carole Eggert	assistant vice president and supervisor in finance department	  Marsh & McLennan Cos. Inc.	N-6	1	553	64	666	90		
3229	Daphne Ferlinda Elder	business analyst	  Marsh & McLennan Cos. Inc.	N-8	0	1	64	170	90		
3230	Christopher Epps	partner	  Cantor Fitzgerald	N-6	1	455	157	585	183		
3231	Erwin L. Erker	vice president	  Marsh & McLennan Cos. Inc.	N-5	0	642	95	750	121		
3232	Catherine K. Fagan	World Trade Center	N-13	0	468	157	612	183			
3233	Sandra Fajardo-Smith	null	N-7	1	150	64	317	90			
3234	Dolores Brigitte Fanelli	Marsh & McLennan Cos. Inc.	N-5	2	694	157	759	183			
3235	Douglas Jon Farnum	software specialist	  Marsh & McLennan Cos. Inc.	N-10	0	662	126	759	152		
3236	Francis Jude Feely	vice president	  Marsh & McLennan Cos. Inc.	N-7	0	399	157	535	183		
3237	Rosa Maria Feliciano	Marsh & McLennan Cos. Inc.	N-15	0	673	95	759	121			
3238	Kristen Nicole Fiedel	Marsh & McLennan Cos. Inc.	N-6	1	571	126	726	152			
3239	Virginia Elizabeth Fox	Marsh & McLennan Cos. Inc.	N-10	0	590	95	755	121			
3240	Vincent Gallucci	vice president	  Marsh & McLennan Cos. Inc.	N-5	3	196	95	328	121		
3241	Cesar R. Garcia	Marsh & McLennan Cos. Inc.	N-5	1	347	95	465	121			
3242	Marlyn Del Carmen Garcia	Marsh & McLennan Cos. Inc.	N-3	0	197	64	396	90			
3243	Jeffrey Brian Gardner	environmental insurance broker	  Marsh & McLennan Cos. Inc.	N-4	0	141	64	304	90		
3244	Craig Neil Gibson	insurance broker	  Marsh & McLennan Cos. Inc.	N-16	1	254	126	387	152		
3245	Steven A. Giorgetti	vice president	  Marsh & McLennan Cos. Inc.	N-13	1	90	95	236	121		
3246	Martin Giovinazzo	maintenance worker	  Marsh & McLennan Cos. Inc.	N-3	2	462	95	606	121		
3247	Salvatore Gitto	Marsh & McLennan Cos. Inc.	N-10	0	512	126	639	152			
3248	Harry Glenn	vice president	 global technology	  Marsh & McLennan Cos. Inc.	N-16	2	245	64	344	90	
3249	Kiran Kumar Reddy Gopu	null	N-8	0	534	64	720	90			
3250	Jon Richard Grabowski	vice president	  Marsh & McLennan Cos. Inc.	N-15	0	190	157	365	183		
3251	Linda C. Mair-Grayling	receptionist	  Marsh & McLennan Cos. Inc.	N-8	0	335	157	507	183		
3252	Gayle R. Greene	vice president	  Marsh & McLennan Cos. Inc.	N-9	1	190	33	309	59		
3253	Warren Grifka	Marsh & McLennan Cos. Inc.	N-15	0	28	33	141	59			
3254	David Joseph Grimner	Marsh & McLennan Cos. Inc.	N-12	0	662	95	759	121			
3255	Liming Gu	Marsh & McLennan Cos. Inc.	N-3	0	670	157	750	183			
3256	Gary Robert Haag	Claims Department Vice President	  Marsh & McLennan Cos. Inc.	N-5	1	486	95	625	121		
3257	Barbara Mary Habib	vice president	  Marsh & McLennan Cos. Inc.	N-9	0	596	33	746	59		
3258	Nezam A. Hafiz	computer analyst	  Marsh & McLennan Cos. Inc.	N-6	0	275	64	388	90		
3259	James Douglas Halvorson	head of Global Infrastructure Group	  Marsh & McLennan Cos. Inc.	N-7	1	353	126	550	152		
3260	Valerie Joan Hanna	null	N-9	0	486	95	634	121			
3261	Michael Lawrence Hannan	null	N-10	1	331	64	529	90			
3262	Timothy Aaron Haviland	null	N-14	0	532	126	720	152			
3263	Roberta B. Heber	analyst	  Marsh & McLennan Cos. Inc.	N-7	0	379	95	506	121		
3264	JoAnn L. Heltibridle	vice president	  Marsh & McLennan Cos. Inc.	N-14	1	151	126	302	152		
3265	Robert Allan Hepburn	office manager	  Marsh & McLennan Cos. Inc.	N-14	0	19	157	186	183		
3266	James J. Hobin	vice president	  Marsh & McLennan Cos. Inc.	N-9	0	648	95	754	121		
3267	DaJuan Hodges	management services	  Marsh & McLennan Cos. Inc.	N-8	0	460	95	580	121		
3268	Matthew Douglas Horning	null	N-16	0	28	126	235	152			
3269	Steven Leon Howell	facilities manager	  Marsh & McLennan Cos. Inc.	N-3	2	571	64	724	90		
3270	Paul Rexford Hughes	null	N-16	2	263	33	424	59			
3271	Joseph Anthony Ianelli	accountant	  Marsh & McLennan Cos. Inc.	N-9	0	298	95	471	121		
3272	Stephanie Veronica Irby	accountant	  Marsh & McLennan Cos. Inc.	N-7	1	342	64	518	90		
3273	Virginia May Jablonski	vice president	  Marsh & McLennan Cos. Inc.	N-5	2	697	64	759	90		
3274	Maria Jakubiak	accountant	  Marsh & McLennan Cos. Inc.	N-11	0	2	64	115	90		
3275	Ernest James	null	N-5	0	0	126	97	152			
3276	Alva Cynthia Jeffries Sanchez	null	N-16	0	3	64	221	90			
3277	Luis Jimenez	 Jr.	null	N-13	0	212	64	327	90		
3278	Jennifer Lynn Kane	null	N-4	1	235	95	376	121			
3279	William A. Karnes	vice president	  Euro Brokers Inc.	N-9	0	2	157	135	183		
3280	Richard M. Keane	senior accounting specialist	  Marsh & McLennan Cos. Inc.	N-15	0	278	126	409	152		
3281	Robert Clinton Kennedy	vice president	  Marsh & McLennan Cos. Inc.	N-12	1	218	126	400	152		
3282	Rajesh Khandelwal	Marsh & McLennan Cos. Inc.	N-12	0	334	95	480	121			
3283	Lawrence Don Kim	Marsh & McLennan Cos. Inc.	N-10	0	171	126	311	152			
3284	Howard Barry Kirschbaum	null	N-8	0	529	157	727	183			
3285	Richard Joseph Klares	null	S-63	1	207	33	371	59			
3286	Peter Anton Klein	null	N-17	0	293	126	429	152			
3287	Rebecca Lee Koborie	null	N-4	0	566	126	716	152			
3288	Dorota Kopiczko	null	N-15	0	449	33	584	59			
3289	Patricia A. Kuras	Marsh & McLennan Cos. Inc.	N-3	1	432	126	561	152			
3290	Angela Reed Kyte	null	N-11	0	340	33	471	59			
3291	Jeanette Louise Lafond-Menichino	World Trade Center	  Tower 1	 94th floor	N-10	0	147	157	399	183	
3292	Carol Ann La Plante	null	N-15	0	598	33	756	59			
3293	Hamidou S. Larry	Marsh & McLennan Cos. Inc.	N-9	0	423	126	555	152			
